Category,Sms
trust,Naomba unipigie nikueleze kuhusu safari ya kesho.
trust,"Tafadhali angalia pesa kwenye simu yako, nimeshatuma."
scam,"TUZO POINT hongera umepata zawadi Sh1,500,000 milioni kutoka (TUZO POINT) piga sim,.0781476081 kupata zawadi  asante"
scam,"IYO PESA ITUME KWENYE NAMBA HII 0675259049 JINA ITALETA HADIJA LAI NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
scam,tuma kwenye namba hii ya M-Pesa 0689933027 jina litakuja FEBU SHADI WILISON Ukituma unijulishe
scam,"Mpigie Mzee LINUSI MALALO kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0695567435"
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0747878264 AU 0747878264"
trust,Habari! Uko aje?
trust,"Habari, unaendeleaje? Nilifikiri nikutafute kuhusu wazo letu la biashara."
trust,Nahitaji msaada wako kuhamasisha timu kuhusu project mpya tutakaohusiana nao.
scam,"Dear, No need to go out work, just at home to earn 170,000TZS a day, please contact us: https://wa.me/2550655251448"
scam,Utanitumia kwenye ii 0773409724 airtel jina JUMA SIKAREKO namba yangu inadeni usiitumie
scam,0786543210 Jina litakuja HADIJA LAI Nitumie kwenye hiyo Vodacom
scam,mjukuu wangu utafuta ji wako mgumu hela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0782734560
trust,Nasikia Nandy anataka kufungua studio yake binafsi. Hii ni hatua kubwa kwake.
scam,Au nitumie kwenye m-pesa Namba.0698945621 jina litakuja PETER NYANGE
scam,Iyo ela tuma humu kwenye voda 0789723456 Jina lije JENEROZA ROCK BENEDICTO
scam,Tumia namba hii ya airtel 0787-406-889 kutuma hiyo Hela jina HOSEA MKUMBUKWA
scam,Habari za asubuhi. Mimi  mwenye nyumba wako hii namba yangu ya Halotel. Mbona kimya na siku zinazidi kwenda...?
scam,"Dear, No need to go out work, just at home to earn 170,000TZS a day, please contact us: https://wa.me/2550755896103"
scam,Basi iyo hela nitumie kwenye namba hii 0767274553 jina litakuja (PEREGIA FILIPO) ile namba usitumie laini inamatatizo.
trust,"Nimepokea barua yako, nitakujibu hivi karibuni."
scam,Mjukuu wangu ndagu niliyokukabizi hiyo uwe makini na pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa kwa mda mfupi sasa umeona mwenyewe na siri hiyo usitowe kwa mtu yoyote utajili huo ni mkubwa sana utaweza kuweka miladi ya kira aina popote pale unipigie nikuelekeze.
scam,Iyo Hela itume humu kwenye VODACOM 0698018072 jina lije JUMA SIKAREKO.
scam,Habari za mchana. Mimi  mwenye nyumba wako hii namba yangu ya Tigo. Mbona kimya na siku zinazidi kwenda...?
scam,Naomba unitumie iyo Hela kwenye namba hii ya VODACOM 0783654321. jina (PEREGIA FILIPO)
scam,"We need urgently Need Staff salary 5,000,000TZS. Reach HR team at: wa.me/2550755667788."
scam,Iyo Pesa itume humu kwenye Halotel 0755667788 jina lije PEREGIA FILIPO.
scam,Basi iyo hela nitumie kwenye namba hii 0698018072 jina litakuja (HADIJA LAI) ile namba usitumie laini inamatatizo.
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu
scam,"Habari za muda,mimi PEREGIA FILIPO,hii namba yangu ya TIGO.Vp mbona shem PEREGIA FILIPO, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu."
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0675259049"
scam,Samahani naomba itume kwenye Airtel 0783582817 KHADIJA SUMBAI.
scam,au iyo ela nitumie kwenye m-pesa hii 0698945621 Jina litoke 0698945621.
trust,Nimepata ujumbe wako.
scam,Habari. Mimi  mwenye nyumba wako hii namba yangu ya tigo. Mbona kimya na siku zinazidi kwenda...?
trust,Watu wameanza kulalamika kuhusu bei za Tiketi za Fiesta. Wewe unafikiri ni sawa?
scam,Naomba unitumie iyo Hela kwenye namba hii ya VODACOM 0698945621. jina (Magomba Maila)
scam,"Imethibitishwa, namba yako ya 0781476081 imejishindia TSH 2,000,000 kutoka TUZO POINT. Piga 0781476081 ili kupokea Hela yako."
scam,Au nitumie kwenye m-pesa Namba.0789723456 jina litakuja ABDALLAH MWANAKU
trust,Ulipata ile simu uliyokuwa unatafuta? Naweza kukusaidia kuifuatilia.
trust,"Usisahau mkutano wa kikundi kesho saa tatu, tutakutana pale ofisini."
scam,Iyo Pesa itume humu kwenye airtel 0676584303 jina lije MWANAIDI KHAMISI.
trust,Daaa huyu mwamba namkubali sanaaa
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By ALLY ISSA,ni grp member"
trust,"Nitakuja kukuona wikiendi hii, tunahitaji kuzungumza."
trust,Hizi tetesi za Ali Kiba kuacha muziki ni za kweli? Nasikia ameandika kwenye Insta.
scam,tuma kwenye namba hii ya M-Pesa 0789723456 jina litakuja HOSEA MKUMBUKWA Ukituma unijulishe
scam,Utanitumia kwenye ii 0755667788 tigo jina JUMANNE YASINI MASAKA namba yangu inadeni usiitumie
scam,TUMIA NAMBA HII (0733822240)KUNITUMIA IYO HELA JINA LITAONYESHA (PEREGIA FILIPO)
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0755896103 AU 0755896103"
scam,Utanitumia kwenye ii 0716484506 vodacom jina JENEROZA ROCK BENEDICTO namba yangu inadeni usiitumie
scam,"VODA OFA hongera umepata zawadi Sh120000 milioni kutoka (VODA OFA) piga sim,.0733822240 kupata zawadi  asante"
trust,"Asante sana kwa msaada wako jana, Mungu akubariki."
scam,mjukuu wangu utafuta ji wako mgumu hela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0788542784
scam,0696530433 Jina litakuja MARIAM NDUGAI Nitumie kwenye hiyo tigo
scam,"Imethibitishwa, namba yako ya 0783654321 imejishindia TSH 1,500,000 kutoka Tuzo point. Piga 0783654321 ili kupokea Hela yako."
scam,"Habari za siku,mimi Magomba Maila,hii namba yangu ya voda.Vp mbona shem Magomba Maila, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu."
trust,Nimepanga safari ya kwenda baharini. Ningependa uje pamoja.
trust,Nitakupigia simu baadaye tukizungumze zaidi.
scam,"Dear, No need to go out work, just at home to earn 4,000,000TZS a day, please contact us: https://wa.me/2550695567435"
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA VODACOM NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE
trust,Tunatafuta watu wa kujitolea kusaidia watoto yatima kwenye kituo cha karibu.
scam,"Tuzo point hongera umepata zawadi Sh2,000,000 milioni kutoka (Tuzo point) piga sim,.0676584303 kupata zawadi  asante"
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By JOACHIM KAPUFI,ni grp member"
scam,TIGO F134 Imethibitishwa namba yako ya 061 ... imeshinda Tsh120000.00/=million kutoka Tuzo point ilikupokea Hela yako piga 0755667788 Asante
scam,ela tuma kwa namba hii 0675259049 jina PETER NYANGE
scam,Au nitumie kwenye M-Pesa Namba.0699137921 jina litakuja Magomba Maila
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By JUMANNE YASINI MASAKA,ni grp member"
trust,Tafadhali unisaidie na taarifa za shule.
trust,Tafadhali nipatie namba ya mteja ambaye alituma maombi jana.
scam,"Dear, No need to go out work, just at home to earn 1,500,000TZS a day, please contact us: https://wa.me/2550789723456"
trust,Nimefurahi kusikia kuwa unaendelea vizuri na afya.
trust,"Ninapanga kufunga ndoa hivi karibuni, nitahitaji msaada wako."
trust,Ninafuraha kuwa na rafiki kama wewe maishani mwangu.
scam,"Mpigie Mzee ALLY ISSA kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0781476081"
scam,"Imethibitishwa, namba yako ya 0689933027 imejishindia TSH 170,000 kutoka Tuzo point. Piga 0689933027 ili kupokea Hela yako."
scam,Tumia namba hii ya voda 0767274553 kutuma hiyo Pesa jina JOACHIM KAPUFI
trust,Tafadhali niambie bei ya bidhaa hizo.
trust,Nimetuma picha za tukio la leo kupitia WhatsApp.
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA vodacom NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE
scam,"Dear, No need to go out work, just at home to earn 170,000TZS a day, please contact us: https://wa.me/2550698945621"
scam,Utanitumia kwenye ii 0755896103 TIGO jina JUMA SIKAREKO namba yangu inadeni usiitumie
scam,MZEE KHADIJA SUMBAI tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0654321098)(0654321098)
scam,"IYO PESA ITUME KWENYE NAMBA HII 0716484506 JINA ITALETA LUKA KIMBANGU NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
trust,Asante kwa kurudi kwangu kwa haraka. Nimeweza kutatua suala la kiufundi.
scam,mjukuu wangu utafuta ji wako mgumu Hela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0750335946
scam,MPIGIE MZEE FEBU SHADI WILISON WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0747878264
scam,Naomba unitumie iyo Pesa kwenye namba hii ya VODACOM 0786543210. jina (HOSEA MKUMBUKWA)
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0695567435 UKIWA TAYARI KUJIUNGA
scam,Iyo ela tuma humu kwenye TIGO 0617488472 Jina lije RAMATUNGU.
scam,Mjukuu wangu ndagu niliyokukabizi hiyo uwe makini na pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa kwa mda mfupi sasa umeona mwenyewe na siri hiyo usitowe kwa mtu yoyote utajili huo ni mkubwa sana utaweza kuweka miladi ya kira aina popote pale unipigie nikuelekeze.
scam,TUMIA NAMBA HII (0747878264)KUNITUMIA IYO HELA JINA LITAONYESHA (LINUSI MALALO)
scam,"Congratulations! Your CV has passed. You can get 10,000,000TZS in a day. for details: wa.me/2550689592818"
scam,"TUZO  POINTI hongera umepata zawadi Sh5,000,000 milioni kutoka (TUZO  POINTI) piga sim,.0782435667 kupata zawadi  asante"
trust,"Bro, uliona mashabiki walivyoimba jana? Ni furaha ya kweli kuona mpira wa aina hiyo."
trust,Nimefika salama.
scam,"Dear, No need to go out work, just at home to earn 6,000,000TZS a day, please contact us: https://wa.me/2550747878264"
trust,Asante kwa kuwa rafiki wa kweli kwangu.
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA halotel NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE
scam,Utanitumia. kwemye namba 0782734560 ya halotel jina JUMANNE YASINI MASAKA.
scam,MZEE HOSEA MKUMBUKWA tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0755896103)(0755896103)
trust,"Nafikiri VAR inaharibu mpira, baadhi ya maamuzi hayako fair kabisa."
trust,"Kwa kweli, yule mchambuzi wa YouTube amekuwa maarufu sana kwa kuzungumzia skendo za mastaa."
scam,"Congratulations! Your CV has passed. You can get 2,000,000TZS in a day. for details: wa.me/2550699137921"
scam,"Congratulations! Your CV has passed. You can get 170,000TZS in a day. for details: wa.me/2550689592818"
scam,"Halotel ZBFL Imethibitishwa namba yako ya 074 ... imeshinda Tsh170,000.00/=million kutoka OFA YAKO ilikupokea ela yako piga 0783654321 Asante"
trust,Wimbo mpya wa Zuchu umefikisha views milioni 5 ndani ya siku tatu! Jamaa wanajua muziki.
scam,Basi iyo hela nitumie kwenye namba hii 0787-406-889 jina litakuja (ALLY ISSA) ile namba usitumie laini inamatatizo.
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu
scam,"Dear, No need to go out work, just at home to earn 120000TZS a day, please contact us: https://wa.me/2550733822240"
scam,"Congratulations! Your CV has passed. You can get 170,000TZS in a day. for details: wa.me/2550750335946"
scam,TUMIA NAMBA HII (0786543210)KUNITUMIA IYO HELA JINA LITAONYESHA (LUKA KIMBANGU)
scam,Iyo ela tuma humu kwenye airtel 0755896103 Jina lije JOACHIM KAPUFI.
trust,Umesikia kuhusu drama mpya kati ya Wema na Wolper? Nasikia wamerushiana maneno kwenye Insta.
scam,Utanitumia kwenye ii 0755896103 Halotel jina NASHONI MBIRIBI namba yangu inadeni usiitumie
scam,Iyo ela tuma humu kwenye halotel 0695567435 Jina lije PEREGIA FILIPO.
trust,Tafadhali nisaidie na maelezo kuhusu barabara ya kwenda nyumbani kwako.
trust,Uliona interview ya Shilole? Aliongea vitu vya kushangaza kuhusu maisha yake ya ndoa.
scam,Tumia namba hii ya Halotel 0657666983 kutuma hiyo hela jina JUMA SIKAREKO
scam,Tumia namba hii ya halotel 0617488472 kutuma hiyo Pesa jina KHADIJA SUMBAI
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0783654321 AU 0783654321"
scam,MPIGIE MZEE PETER NYANGE WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0782435667
scam,Samahani naomba itume kwenye halotel 0773409724 HADIJA LAI.
trust,Nimepata habari kwamba kuna tamasha la muziki town. Ningependa kwenda pamoja na wewe.
scam,Iyo ela itume humu kwenye Halotel 0699137921 jina lije LINUSI MALALO.
scam,au iyo ela nitumie kwenye AirtelMoney hii 0698945621 Jina litoke 0698945621.
scam,MZEE RAMATUNGU tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0676584303)(0676584303)
trust,"Ni usaili mzuri sana. Nafuatilia, Asanteni sana."
scam,Utanitumia. kwemye namba 0654321098 ya airtel jina OLIVA MATIAS.
scam,Habari za siku. Mimi  mwenye nyumba wako hii namba yangu ya airtel. Mbona kimya na siku zinazidi kwenda...?
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0657666983 AU 0657666983"
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0782435667 au 0782435667"
trust,Kanisa litakuwa na ibada maalum Jumapili kuanzia saa tatu asubuhi.
scam,Basi iyo hela nitumie kwenye namba hii 0782435667 jina litakuja (NASHONI MBIRIBI) ile namba usitumie laini inamatatizo.
scam,au iyo ela nitumie kwenye Tigopesa hii 0773409724 Jina litoke 0773409724.
scam,Iyo Pesa itume humu kwenye airtel 0782734560 jina lije MWANAIDI KHAMISI.
trust,Tafadhali uniangalizie bei ya mafuta ya kupikia sokoni.
trust,Ninaomba msaada wa kijiti cha kuchaji simu.
trust,"Umeshapika chakula cha mchana, ama nichukue chakula njiani?"
scam,mjukuu wangu utafuta ji wako mgumu Hela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0716484506
trust,Pongezi kwa kufanikisha mradi ule!
trust,Naomba unisaidie na taarifa za mkutano.
scam,mjukuu wangu utafuta ji wako mgumu ela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0755896103
scam,"HALOTEL AQ78 Imethibitishwa namba yako ya 068 ... imeshinda Tsh10,000,000.00/=million kutoka TUZO  POINTI ilikupokea hela yako piga 0699137921 Asante"
scam,Au nitumie kwenye Tigopesa Namba.0733822240 jina litakuja MWANAIDI KHAMISI
trust,"Niko kwenye foleni, nitachelewa kidogo."
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0782435667 UKIWA TAYARI KUJIUNGA
scam,Iyo ela tuma humu kwenye halotel 0689592818 Jina lije MARIAM NDUGAI.
scam,au iyo ela nitumie kwenye HaloPesa hii 0755896103 Jina litoke 0755896103.
trust,"Samahani kwa usumbufu, ninaomba msaada wako."
scam,"voda IUKB Imethibitishwa namba yako ya 078 ... imeshinda Tsh2,000,000.00/=million kutoka VODA OFA ilikupokea Pesa yako piga 0747878264 Asante"
trust,"Hadi sasa, Haaland ndiye mfungaji bora wa msimu. Jamaa ni mashine ya magoli!"
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA Halotel NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0689592818 AU 0689592818"
scam,Habari za mchana. Mimi  mwenye nyumba wako hii namba yangu ya airtel. Mbona kimya na siku zinazidi kwenda...?
trust,"Watu wanazungumzia video ya Harmonize kwenye gari la kifahari, ni lake kweli?"
scam,Iyo pesa itume humu kwenye Vodacom 0716484506 jina lije KHADIJA SUMBAI.
trust,hatari sana
trust,"Ninashukuru kwa msaada wako, asante sana."
trust,Mkataba umeandaliwa na nitakutumia kwa barua pepe.
trust,"Kaka, kuna chakula mezani."
trust,nimecheka mpaka mapafu yameumaaa
trust,Watoto wanafurahia sana maisha mapya tuliyohamia.
trust,Nasikia Nasibu ameanza biashara ya magari. Jamaa anafanya kazi kweli.
scam,"Congratulations! Your CV has passed. You can get 4,000,000TZS in a day. for details: wa.me/2550676584303"
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0782435667 UKIWA TAYARI KUJIUNGA
trust,"Watoto wanahitaji matibabu, naomba unisaidie na hela kidogo."
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0782435667 UKIWA TAYARI KUJIUNGA
scam,Utanitumia kwa hîi HALOTEL 0689592818 j'ina ni Magomba Maila.
trust,"Samahani nimechelewa kuwasiliana, nipo na kikao muda huu."
scam,TUMIA NAMBA HII (0773409724)KUNITUMIA IYO HELA JINA LITAONYESHA (PETER NYANGE)
trust,Habari za jioni?
scam,"IYO PESA ITUME KWENYE NAMBA HII 0698018072 JINA ITALETA FEBU SHADI WILISON NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
scam,"Imethibitishwa, namba yako ya 0755667788 imejishindia TSH 6,000,000 kutoka TUZO  POINTI. Piga 0755667788 ili kupokea Pesa yako."
scam,"Dear, No need to go out work, just at home to earn 4,000,000TZS a day, please contact us: https://wa.me/2550747878264"
scam,MZEE JUMANNE YASINI MASAKA tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0698018072)(0698018072)
scam,"TUZO  POINTI hongera umepata zawadi Sh2,000,000 milioni kutoka (TUZO  POINTI) piga sim,.0689592818 kupata zawadi  asante"
scam,"Dear, No need to go out work, just at home to earn 6,000,000TZS a day, please contact us: https://wa.me/2550747878264"
scam,Nitumie tu kwenye hii Halotel 0615810764 jina PETER NYANGE.
trust,Kesho tuna kikao saa nane.
scam,Iyo ela tuma humu kwenye tigo 0696530433 Jina lije NASHONI MBIRIBI
trust,Kikao cha mtaa kimepangwa Jumamosi saa nne asubuhi.
scam,Nitumie tu kwenye hii voda 0617488472 jina SAID MTAALAM .
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By JUMA SIKAREKO,ni grp member"
scam,Tumia namba hii ya Tigo 0676584303 kutuma hiyo ela jina JENEROZA ROCK BENEDICTO
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu
scam,"Congratulations! Your CV has passed. You can get 10,000,000TZS in a day. for details: wa.me/2550657538690"
trust,Nahitaji msaada wako kuhamasisha timu kuhusu project mpya tutafanyia kazi.
trust,Nitakuja saa kumi jioni kama tulivyokubaliana.
trust,"Kaka yangu, safiri salama. Usisahau kuniandikia ukifika!"
trust,Nitumie ratiba ya kikao cha kesho tafadhali.
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0782734560 AU 0782734560"
trust,Nimefurahi kupata nafasi ya kuzungumza nawe leo.
trust,"Bro, Arsenal wameshinda tena! Nafikiri wanarudi kwenye ubora wao wa zamani."
scam,Iyo ela tuma humu kwenye voda 0782734560 Jina lije HOSEA MKUMBUKWA.
trust,Tunaweza kufanya outing weekend hii? Tuonyeshe mji na vitu vipya ulivyonunua.
scam,"IYO PESA ITUME KWENYE NAMBA HII 0655251448 JINA ITALETA FEBU SHADI WILISON NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
trust,Tafadhali nipatie namba ya dereva wa boda.
scam,mjukuu wangu utafuta ji wako mgumu Hela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0716484506
scam,Iyo Pesa itume humu kwenye TIGO 0782734560 jina lije ALLY ISSA.
trust,"Pole sana ndugu yangu, umepitia pagumu baba. Una mke mzuri amekuweka ktk Hali nzuri Muda wote."
scam,ela tuma kwa namba hii 0783654321 jina NASHONI MBIRIBI
trust,Unataka chai au kahawa?
scam,Nitumie tu kwenye hii Airtel 0733822240 jina SALOME KALUNGA.
scam,TUMIA NAMBA HII (0689933027)KUNITUMIA IYO HELA JINA LITAONYESHA (JUMANNE YASINI MASAKA)
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0696530433"
trust,"Leo tutoke out? Kuna sehemu mpya nimegundua, najua utaipenda."
trust,"Hey, naomba nitumie picha ile ya mwisho ulionyesha kwenye chat yetu."
scam,Utanitumia kwenye ii 0755896103 airtel jina SALOME KALUNGA namba yangu inadeni usiitumie
trust,Nitahitaji invoice ya mwezi uliopita kwa ukaguzi wa hesabu.
trust,Daaaah... Hiyo ya nyumba ni hatariii aseee
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By LUKA KIMBANGU,ni grp member"
scam,"IYO PESA ITUME KWENYE NAMBA HII 0781476081 JINA ITALETA NASHONI MBIRIBI NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
scam,mjukuu wangu utafuta ji wako mgumu ela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0655251448
scam,Habari za asubuhi. Mimi  mwenye nyumba wako hii namba yangu ya VODACOM. Mbona kimya na siku zinazidi kwenda...?
scam,MZEE KHADIJA SUMBAI tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0617488472)(0617488472)
trust,Safi mwamba kazi kwanza. Harafu sio lazima sana
trust,Tafadhali nitumie picha.
scam,Utanitumia kwa hîi AIRTEL 0782734560 j'ina ni LUKA KIMBANGU.
trust,"Kesho kuna kikao cha familia saa nne asubuhi, tafadhali usikose."
trust,Uko sahihi mwamba
scam,"Mpigie Mzee HOSEA MKUMBUKWA kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0698018072"
scam,MZEE PEREGIA FILIPO tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0699137921)(0699137921)
trust,Tafadhali nipigie simu ukishapata muda.
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By JOACHIM KAPUFI,ni grp member"
scam,"Congratulations! Your CV has passed. You can get 1,500,000TZS in a day. for details: wa.me/2550657538690"
trust,"Shule yetu inahitaji vifaa vya kujifunzia, unaweza kusaidia kutoa taarifa?"
trust,Tutaenda wapi kusherehekea siku yako?
trust,"Nitapika wali na mboga leo jioni, unanunua nyama au mimi nibebe?"
scam,Samahani naomba itume kwenye Tigo 0789723456 Ester kalobelo.
scam,Nitumie tu kwenye hii AIRTEL 0696530433 jina JUMA SIKAREKO.
trust,Habari za asubuhi?
trust,Simba na Yanga ni classic derby! Hakuna mechi inayovutia kama hii hapa nchini.
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu
scam,Nitumie tu kwenye hii Vodacom 0783582817 jina ALLY ISSA.
trust,"Nimesikia kuna tamasha kesho mjini, una mpango wa kwenda?"
scam,"Imethibitishwa, namba yako ya 0698945621 imejishindia TSH 170,000 kutoka Tuzo point. Piga 0698945621 ili kupokea ela yako."
trust,Ningependa kujua kama uko tayari kwa mtihani wa kesho. tusome pamoja.
scam,MPIGIE MZEE JUMANNE YASINI MASAKA WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0784862618
scam,Utanitumia. kwemye namba 0784862618 ya AIRTEL jina FEBU SHADI WILISON.
trust,​​nipo live hapa naona chama langu
scam,Nitumie tu kwenye hii HALOTEL 0767274553 jina MARIAM NDUGAI.
scam,"Mpigie Mzee RAMATUNGU kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0781476081"
